City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Ponta Do Sol,PT,32.6667,-17.1,67.01,82,53,7.58,broken clouds
147,Nowe Miasto Lubawskie,PL,53.4208,19.5952,50.11,96,74,7.74,broken clouds
148,Luderitz,NA,-26.6481,15.1594,54.97,66,31,12.75,scattered clouds
149,Yar-Sale,RU,66.8333,70.8333,37.83,99,63,9.71,broken clouds
150,Buraydah,SA,26.326,43.975,73.85,18,0,8.34,clear sky
151,Kunya,NG,12.2233,8.5325,86.16,48,86,10.36,overcast clouds
152,Broome,US,42.2506,-75.833,73.78,68,20,4.61,few clouds
153,Henties Bay,NA,-22.116,14.2845,56.5,83,0,4.79,clear sky
154,Padang,ID,-0.9492,100.3543,77.05,67,26,3.06,scattered clouds
155,Keetmanshoop,NA,-26.5833,18.1333,54.18,29,70,2.39,broken clouds
156,Fortuna Foothills,US,32.6578,-114.4119,98.69,5,0,9.22,clear sky
157,Road Town,VG,18.4167,-64.6167,80.69,78,75,11.5,broken clouds
158,Cape Town,ZA,-33.9258,18.4232,55.9,91,75,3.44,broken clouds
159,Pallipattu,IN,13.3386,79.4449,81.75,79,67,3.85,broken clouds
160,Mount Gambier,AU,-37.8333,140.7667,64.06,60,87,15.03,overcast clouds
161,Longonjo,AO,-12.9067,15.2533,60.26,62,4,1.95,clear sky
162,Dunedin,NZ,-45.8742,170.5036,60.8,70,90,3.0,overcast clouds
163,Zharkent,KZ,44.1628,80.0,66.74,46,100,2.95,overcast clouds
164,Gillette,US,44.2911,-105.5022,54.95,50,40,4.61,scattered clouds
165,Kuah,MY,6.3265,99.8432,80.58,89,40,2.3,scattered clouds
166,Mirante Do Paranapanema,BR,-22.2919,-51.9064,62.01,78,0,6.58,clear sky
167,Mudhol,IN,16.35,75.2833,76.53,74,100,13.67,overcast clouds
168,La Ronge,CA,55.1001,-105.2842,46.62,49,100,17.27,overcast clouds
169,Vorozhba,UA,51.1733,34.2192,46.85,80,92,5.57,overcast clouds
170,Yarim,YE,14.298,44.3779,56.71,27,0,8.57,clear sky
171,Qasigiannguit,GL,68.8193,-51.1922,23.25,91,100,4.5,overcast clouds
172,Margate,GB,51.3813,1.3862,52.3,85,14,1.99,few clouds
173,Kavieng,PG,-2.5744,150.7967,85.14,64,56,9.6,broken clouds
174,Xam Nua,LA,20.4197,104.0439,74.93,80,69,1.32,broken clouds
175,Camargo,MX,27.6667,-105.1667,90.64,5,18,11.41,few clouds
176,Ajdabiya,LY,30.7554,20.2263,63.1,76,0,11.32,clear sky
177,Bulaevo,KZ,54.9056,70.4439,56.01,73,96,7.72,overcast clouds
178,Leningradskiy,RU,69.3833,178.4167,35.33,94,100,5.82,overcast clouds
179,Sayyan,YE,15.1718,44.3244,59.02,25,38,6.42,scattered clouds
180,Colares,PT,38.7992,-9.4469,75.33,64,100,5.01,overcast clouds
181,Georgetown,MY,5.4112,100.3354,84.13,93,20,2.3,few clouds
182,Atar,MR,20.5169,-13.0499,90.48,14,100,10.98,overcast clouds
183,Bogorodskoye,RU,56.55,37.8833,42.55,90,0,12.73,clear sky
184,Tazovskiy,RU,67.4667,78.7,35.46,98,100,7.09,overcast clouds
185,Kodiak,US,57.79,-152.4072,45.91,42,100,13.8,overcast clouds
186,Redlands,US,34.0556,-117.1825,94.15,17,0,11.5,clear sky
187,Kirakira,SB,-10.4544,161.9205,85.64,69,16,4.68,few clouds
188,Geraldton,AU,-28.7667,114.6,63.01,72,100,5.75,overcast clouds
189,Kaitangata,NZ,-46.2817,169.8464,57.09,75,62,6.06,broken clouds
190,Saint-Philippe,RE,-21.3585,55.7679,67.59,72,36,5.91,scattered clouds
191,Cap-Aux-Meules,CA,47.3821,-61.8597,53.65,71,100,16.11,overcast clouds
192,Pevek,RU,69.7008,170.3133,33.01,76,27,20.42,scattered clouds
193,Nantucket,US,41.2835,-70.0995,60.94,98,100,5.75,fog
194,Itarema,BR,-2.9248,-39.9167,78.51,86,100,11.25,moderate rain
195,Nouadhibou,MR,20.931,-17.0347,75.18,57,100,19.57,overcast clouds
196,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,91,100,10.02,light rain
197,Khatanga,RU,71.9667,102.5,26.82,84,100,8.3,overcast clouds
198,Kang,BW,-23.6752,22.7876,60.28,33,5,1.68,clear sky
199,Tahta,EG,26.7693,31.5021,89.47,14,4,9.55,clear sky
200,Maniwaki,CA,46.3834,-75.966,80.98,32,7,3.44,clear sky
201,Kurilsk,RU,45.2333,147.8833,47.32,94,100,23.58,moderate rain
202,Saravan,AM,39.7196,45.6483,40.14,55,0,5.1,clear sky
203,Meulaboh,ID,4.1363,96.1285,80.11,82,100,2.04,overcast clouds
204,Tezu,IN,27.9167,96.1667,71.62,98,99,3.29,overcast clouds
205,Viedma,AR,-40.8135,-62.9967,48.97,55,100,8.77,overcast clouds
206,Chuy,UY,-33.6971,-53.4616,55.29,81,100,5.57,overcast clouds
207,Shimoda,JP,34.6667,138.95,70.11,97,100,16.91,moderate rain
208,Kapit,MY,2.0167,112.9333,76.1,97,100,2.46,overcast clouds
209,Ixtapa,MX,20.7,-105.2,81.23,72,100,1.99,overcast clouds
210,San Policarpo,PH,12.1791,125.5072,83.43,76,100,7.92,overcast clouds
211,Ostrovnoy,RU,68.0531,39.5131,41.2,85,100,4.09,overcast clouds
212,Carutapera,BR,-1.195,-46.02,77.72,90,10,7.11,clear sky
213,Asfi,MA,32.2994,-9.2372,66.65,75,64,8.46,broken clouds
214,Kota Bahru,MY,6.1333,102.2386,76.98,94,20,2.3,few clouds
215,Rafaela,AR,-31.2503,-61.4867,58.98,59,100,1.99,overcast clouds
216,Chokurdakh,RU,70.6333,147.9167,18.88,86,98,5.75,overcast clouds
217,Vallenar,CL,-28.5708,-70.7581,59.83,57,0,1.7,clear sky
218,Sakyla,FI,61.0333,22.3333,39.79,87,95,4.43,overcast clouds
219,Cayenne,GF,4.9333,-52.3333,78.1,1,75,5.75,light rain
220,Kultuk,RU,51.7208,103.6956,57.87,33,8,4.0,clear sky
221,East London,ZA,-33.0153,27.9116,63.68,73,100,9.95,overcast clouds
222,Constitucion,CL,-35.3333,-72.4167,51.82,62,100,5.77,overcast clouds
223,Berbera,SO,10.4396,45.0143,86.32,48,11,2.93,few clouds
224,Tigil,RU,57.8,158.6667,43.72,86,100,3.56,light rain
225,Nsanje,MW,-16.92,35.262,64.36,97,1,1.54,clear sky
226,Praya,CV,14.9215,-23.5087,79.34,41,0,26.46,clear sky
227,Kruisfontein,ZA,-34.0033,24.7314,53.89,83,63,7.81,broken clouds
228,Biltine,TD,14.5333,20.9167,85.33,32,10,3.74,clear sky
229,Talara,PE,-4.5772,-81.2719,66.06,91,30,13.0,scattered clouds
230,Inuvik,CA,68.3499,-133.7218,32.76,90,100,12.66,light snow
231,Castro,BR,-24.7911,-50.0119,53.49,94,0,3.83,clear sky
232,Laguna,US,38.421,-121.4238,84.11,33,0,9.22,clear sky
233,Thio,NC,-21.6167,166.2167,82.36,66,98,13.62,overcast clouds
234,Moron,AR,-34.6534,-58.6198,60.55,84,90,2.82,overcast clouds
235,Lorengau,PG,-2.0226,147.2712,85.28,63,20,7.99,few clouds
236,Sur,OM,22.5667,59.5289,87.55,33,0,10.8,clear sky
237,Tuatapere,NZ,-46.1333,167.6833,57.76,83,95,5.37,overcast clouds
238,Ust-Kuyga,RU,70.0167,135.6,19.53,70,13,2.44,few clouds
239,Luwuk,ID,-0.9516,122.7875,77.77,93,99,3.96,overcast clouds
240,Faanui,PF,-16.4833,-151.75,81.55,68,100,15.32,overcast clouds
241,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.93,81,72,5.53,broken clouds
242,Esna,EG,25.2934,32.554,89.62,14,100,3.13,overcast clouds
243,Pirenopolis,BR,-15.8525,-48.9592,73.89,58,100,4.76,overcast clouds
244,Inirida,CO,3.8653,-67.9239,75.49,97,90,2.08,heavy intensity rain
