City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Faanui,PF,2022-05-13 17:26:57,-16.4833,-151.75,81.21,71,18,16.98
127,Adrar,MR,2022-05-13 17:26:57,20.5022,-10.0711,104.79,6,46,10.02
128,Huanan,CN,2022-05-13 17:26:58,46.2167,130.5167,48.92,47,91,5.03
129,Barkhan,PK,2022-05-13 17:26:58,29.8977,69.5256,82.22,7,0,2.42
130,Najran,SA,2022-05-13 17:26:59,17.4924,44.1277,86.65,13,37,11.23
131,Khatanga,RU,2022-05-13 17:26:59,71.9667,102.5,14.63,94,100,4.94
132,Pecos,US,2022-05-13 17:27:00,31.4229,-103.4932,88.63,4,0,9.22
133,Gogrial,SS,2022-05-13 17:27:00,8.5332,28.1004,93.92,32,97,4.34
134,Mayenne,FR,2022-05-13 17:27:01,48.3333,-0.6667,67.44,55,61,5.55
135,Tessalit,ML,2022-05-13 17:27:01,20.1986,1.0114,99.3,5,6,16.51
136,Buala,SB,2022-05-13 17:27:01,-8.145,159.5921,79.0,81,17,2.06
137,Ena,JP,2022-05-13 17:27:02,35.4498,137.4128,66.85,99,100,8.37
138,Gurmatkal,IN,2022-05-13 17:27:02,16.8667,77.4,83.55,55,84,12.53
139,Pitsunda,GE,2022-05-13 17:28:03,43.1592,40.3378,57.18,76,2,5.37
140,Mandalgovi,MN,2022-05-13 17:28:04,45.7625,106.2708,42.57,34,12,7.4
141,Roura,GF,2022-05-13 17:28:04,4.7263,-52.3274,84.96,70,75,12.66
142,Te Anau,NZ,2022-05-13 17:28:05,-45.4167,167.7167,50.99,96,100,3.09
143,Roald,NO,2022-05-13 17:28:05,62.5833,6.1333,45.0,81,75,17.27
144,Alpena,US,2022-05-13 17:28:06,45.0617,-83.4327,86.25,32,0,12.66
145,Saint-Philippe,RE,2022-05-13 17:28:07,-21.3585,55.7679,69.39,69,3,5.23
146,Hualmay,PE,2022-05-13 17:28:07,-11.0964,-77.6139,69.21,73,23,9.4
147,Carnarvon,AU,2022-05-13 17:28:10,-24.8667,113.6333,67.82,58,5,20.56
148,Vila Do Maio,CV,2022-05-13 17:28:12,15.1333,-23.2167,84.99,80,71,11.56
149,Uvalde,US,2022-05-13 17:28:13,29.3669,-99.767,76.19,73,0,5.75
150,Upernavik,GL,2022-05-13 17:28:13,72.7868,-56.1549,19.04,80,31,4.54
151,Half Moon Bay,US,2022-05-13 17:28:14,37.4636,-122.4286,70.88,66,0,16.11
152,Burglengenfeld,DE,2022-05-13 17:28:14,49.2056,12.0414,69.84,45,0,4.61
153,Hambantota,LK,2022-05-13 17:28:15,6.1241,81.1185,79.65,87,100,16.35
154,Hasaki,JP,2022-05-13 17:28:15,35.7333,140.8333,73.8,90,100,28.74
155,Kaitangata,NZ,2022-05-13 17:28:16,-46.2817,169.8464,52.41,71,100,8.75
156,Talakan,RU,2022-05-13 17:28:16,50.3167,130.3667,37.36,75,15,2.17
157,Chuy,UY,2022-05-13 17:28:17,-33.6971,-53.4616,64.99,54,30,5.01
158,Sao Joao Da Barra,BR,2022-05-13 17:28:18,-21.6403,-41.0511,78.89,69,73,10.47
159,Koryazhma,RU,2022-05-13 17:28:18,61.3143,47.1691,44.82,89,100,6.17
160,Kloulklubed,PW,2022-05-13 17:28:19,7.0419,134.2556,73.9,79,100,7.23
161,Strelka,RU,2022-05-13 17:28:19,58.0728,93.0344,51.82,53,66,5.01
162,Ilulissat,GL,2022-05-13 17:28:20,69.2167,-51.1,24.82,74,75,13.8
163,Ponta Do Sol,PT,2022-05-13 17:28:21,32.6667,-17.1,73.0,76,5,4.38
164,Paso De Los Toros,UY,2022-05-13 17:28:21,-32.8167,-56.5167,63.37,57,100,8.03
165,Bethel,US,2022-05-13 17:28:22,41.3712,-73.414,81.36,78,100,1.01
166,Itarema,BR,2022-05-13 17:28:22,-2.9248,-39.9167,80.82,81,100,14.97
167,Nanortalik,GL,2022-05-13 17:28:23,60.1432,-45.2371,32.79,90,100,4.99
168,Codajas,BR,2022-05-13 17:28:24,-3.8367,-62.0569,84.0,84,77,5.03
169,Thompson,CA,2022-05-13 17:28:24,55.7435,-97.8558,42.96,56,100,16.11
170,Narrabri,AU,2022-05-13 17:28:25,-30.3167,149.7833,64.53,96,96,4.74
171,Tilichiki,RU,2022-05-13 17:28:25,60.4667,166.1,32.59,97,100,1.25
172,Tiarei,PF,2022-05-13 17:28:26,-17.5333,-149.3333,73.42,74,17,18.19
173,Norman Wells,CA,2022-05-13 17:28:27,65.282,-126.8329,53.64,35,20,5.75
174,Los Llanos De Aridane,ES,2022-05-13 17:28:28,28.6585,-17.9182,66.13,89,75,2.3
175,Ikongo,MG,2022-05-13 17:28:28,-21.8833,47.4333,66.04,95,86,1.12
176,Zhigansk,RU,2022-05-13 17:28:29,66.7697,123.3711,19.58,83,25,10.63
177,Batsfjord,NO,2022-05-13 17:28:29,70.6345,29.7185,37.33,86,75,16.11
178,Le Port,RE,2022-05-13 17:28:30,-20.9373,55.2919,73.36,74,57,3.04
179,Lensk,RU,2022-05-13 17:28:30,60.7253,114.9278,37.11,93,100,5.64
180,Kangundo,KE,2022-05-13 17:28:31,-1.2979,37.3471,68.34,67,92,8.63
181,Gelibolu,TR,2022-05-13 17:28:32,40.4103,26.6708,67.86,65,100,1.68
182,Cayenne,GF,2022-05-13 17:28:32,4.9333,-52.3333,85.08,19,75,12.66
183,Ponta Delgada,PT,2022-05-13 17:29:33,37.7333,-25.6667,65.12,77,75,12.66
184,Camacha,PT,2022-05-13 17:29:34,33.0833,-16.3333,67.42,68,20,9.22
185,Jaguarao,BR,2022-05-13 17:29:34,-32.5661,-53.3758,65.28,50,65,6.78
186,Zyryanka,RU,2022-05-13 17:29:35,65.75,150.85,34.3,80,16,9.95
187,Vardo,NO,2022-05-13 17:29:35,70.3705,31.1107,37.38,81,0,10.36
188,Kavaratti,IN,2022-05-13 17:29:36,10.5669,72.642,85.03,74,91,13.33
189,San Cristobal,VE,2022-05-13 17:29:36,7.7669,-72.225,80.78,45,56,9.51
190,Lufilufi,WS,2022-05-13 17:29:37,-13.8745,-171.5986,76.78,78,69,9.17
191,Chernyshevskiy,RU,2022-05-13 17:29:37,63.0128,112.4714,26.01,92,95,2.42
192,San Quintin,MX,2022-05-13 17:29:38,30.4833,-115.95,70.05,50,65,8.88
193,Lucapa,AO,2022-05-13 17:29:39,-8.4192,20.7447,77.25,48,94,2.3
194,Souillac,MU,2022-05-13 17:29:39,-20.5167,57.5167,73.78,78,40,4.61
195,Chala,TZ,2022-05-13 17:29:40,-7.5833,31.2667,59.27,86,58,1.99
196,Bandarbeyla,SO,2022-05-13 17:29:40,9.4942,50.8122,83.25,83,67,17.6
197,Grass Valley,US,2022-05-13 17:29:41,39.2191,-121.0611,66.58,39,0,3.0
198,Sitka,US,2022-05-13 17:29:41,57.0531,-135.33,48.09,71,20,4.61
199,Kostyantynivka,UA,2022-05-13 17:29:42,48.5277,37.7069,57.63,63,54,7.36
200,Broken Hill,AU,2022-05-13 17:26:17,-31.95,141.4333,60.03,68,96,9.42
201,Peoria,US,2022-05-13 17:26:30,40.7667,-89.7668,87.62,51,0,8.05
202,Danilov,RU,2022-05-13 17:29:42,58.1908,40.1717,47.77,82,100,12.73
203,Sakakah,SA,2022-05-13 17:29:43,29.9697,40.2064,87.37,15,0,8.9
204,Bonthe,SL,2022-05-13 17:29:43,7.5264,-12.505,83.05,75,70,8.46
205,Artyom,AZ,2022-05-13 17:29:44,40.4723,50.333,60.94,66,0,13.85
206,Nizhniy Odes,RU,2022-05-13 17:29:44,63.6445,54.856,51.03,70,75,5.35
207,Kargasok,RU,2022-05-13 17:29:45,59.0556,80.8572,58.17,35,4,6.13
208,Biak,ID,2022-05-13 17:29:45,-0.9131,122.8766,76.55,84,100,0.29
209,Itapirapua,BR,2022-05-13 17:29:46,-15.8233,-50.6133,92.73,30,85,1.16
210,Mecca,SA,2022-05-13 17:27:58,21.4267,39.8261,91.98,35,0,3.78
211,Grakhovo,RU,2022-05-13 17:29:46,56.0502,51.9676,45.54,96,100,8.77
212,Meulaboh,ID,2022-05-13 17:29:47,4.1363,96.1285,79.2,85,96,2.59
213,Damietta,EG,2022-05-13 17:29:47,31.4165,31.8133,69.39,71,23,14.76
214,Ati,TD,2022-05-13 17:26:16,13.2154,18.3353,85.59,44,41,29.53
215,Haines Junction,CA,2022-05-13 17:29:48,60.7522,-137.5108,42.75,39,100,1.14
216,Brooks,CA,2022-05-13 17:29:48,50.5834,-111.8851,56.82,45,93,6.91
217,Lusambo,CD,2022-05-13 17:29:49,-4.9667,23.45,79.16,58,74,1.43
218,Macon,US,2022-05-13 17:29:49,39.8667,-88.9668,86.88,39,0,6.91
219,Mareeba,AU,2022-05-13 17:29:50,-17.0,145.4333,66.92,97,6,1.34
220,Kattivakkam,IN,2022-05-13 17:29:50,13.2167,80.3167,86.09,82,82,16.15
221,Kosa,RU,2022-05-13 17:29:51,59.9445,54.9977,48.15,92,91,2.93
222,Faya,SA,2022-05-13 17:29:51,18.3851,42.4509,77.52,21,3,10.31
223,Ulaangom,MN,2022-05-13 17:29:52,49.9811,92.0667,50.13,25,6,0.65
224,Kupang,ID,2022-05-13 17:29:52,-10.1667,123.5833,77.72,88,52,6.42
225,Jalu,LY,2022-05-13 17:29:53,29.0331,21.5482,80.11,35,6,8.88
226,Muroto,JP,2022-05-13 17:29:53,33.2833,134.15,70.59,95,100,5.06
227,Lagos,NG,2022-05-13 17:29:54,6.5833,3.75,88.12,72,84,8.25
228,Fortuna,US,2022-05-13 17:30:54,40.5982,-124.1573,57.65,95,100,11.5
229,Vilyuysk,RU,2022-05-13 17:30:55,63.7553,121.6247,25.74,82,63,10.11
230,Camocim,BR,2022-05-13 17:30:55,-2.9022,-40.8411,81.07,87,92,12.1
231,Acajutla,SV,2022-05-13 17:30:56,13.5928,-89.8275,89.62,47,45,11.01
232,Vostok,RU,2022-05-13 17:30:57,46.4856,135.8833,41.52,84,100,4.5
233,Tecoanapa,MX,2022-05-13 17:30:57,16.5167,-98.75,90.01,51,61,11.14
234,Sovetskiy,RU,2022-05-13 17:30:58,61.3614,63.5842,53.98,60,99,6.93
235,Ust-Nera,RU,2022-05-13 17:30:58,64.5667,143.2,23.88,97,99,3.33
236,Larsnes,NO,2022-05-13 17:30:59,62.2028,5.5773,45.01,89,100,10.38
237,Asyut,EG,2022-05-13 17:30:59,27.181,31.1837,96.35,12,5,10.18
238,Miguel Calmon,BR,2022-05-13 17:27:24,-11.4289,-40.595,88.65,32,4,8.3
239,Mwanza,TZ,2022-05-13 17:31:00,-2.5167,32.9,73.45,78,20,11.5
240,Basco,PH,2022-05-13 17:31:02,20.4487,121.9702,84.15,77,92,12.33
241,Constantine,DZ,2022-05-13 17:31:03,36.365,6.6147,80.01,31,20,10.36
242,Drahovo,UA,2022-05-13 17:31:04,48.2357,23.5491,58.84,95,91,2.98
243,Guerrero Negro,MX,2022-05-13 17:31:04,27.9769,-114.0611,76.24,29,58,7.99
244,Miri,MY,2022-05-13 17:31:05,4.4148,114.0089,77.14,94,20,4.61
245,Kontagora,NG,2022-05-13 17:31:06,10.3999,5.4695,90.1,46,53,1.92
246,Uglegorskiy,RU,2022-05-13 17:31:07,48.2427,41.2531,62.08,86,67,9.6
247,Kinablangan,PH,2022-05-13 17:31:07,7.6947,126.5503,78.03,90,99,4.88
248,Kutum,SD,2022-05-13 17:31:08,14.2,24.6667,87.8,10,11,8.03
249,Tahta,EG,2022-05-13 17:31:09,26.7693,31.5021,98.53,10,6,9.4
250,Ishigaki,JP,2022-05-13 17:31:10,24.3448,124.1572,77.13,88,100,2.3
251,Kavieng,PG,2022-05-13 17:31:10,-2.5744,150.7967,81.34,78,55,9.48
252,Peniche,PT,2022-05-13 17:31:11,39.3558,-9.3811,78.08,78,87,12.55
253,Krasnorechenskiy,RU,2022-05-13 17:31:11,44.6265,135.3532,42.01,95,100,2.06
254,Arman,RU,2022-05-13 17:31:12,59.7,150.1667,37.02,98,100,3.42
255,Siocon,PH,2022-05-13 17:31:13,7.7061,122.1353,78.48,90,99,3.04
256,Machico,PT,2022-05-13 17:31:13,32.7,-16.7667,73.0,84,75,4.61
257,Vila,PT,2022-05-13 17:31:14,42.0304,-8.1588,71.71,41,81,4.32
258,Tingo Maria,PE,2022-05-13 17:31:14,-9.2895,-76.0088,82.71,65,20,8.05
259,Bambous Virieux,MU,2022-05-13 17:31:16,-20.3428,57.7575,73.65,78,40,4.61
260,Priiskovyy,RU,2022-05-13 17:31:16,51.9333,116.6333,37.18,88,89,3.02
261,Nkhotakota,MW,2022-05-13 17:31:17,-12.9274,34.2961,68.92,71,0,4.05
262,Cidreira,BR,2022-05-13 17:31:18,-30.1811,-50.2056,65.07,65,9,5.32
263,Kapit,MY,2022-05-13 17:31:19,2.0167,112.9333,75.58,97,98,2.01
264,Nanakuli,US,2022-05-13 17:31:19,21.3906,-158.1547,76.1,69,75,5.75
265,Araouane,ML,2022-05-13 17:31:20,18.9048,-3.5265,100.54,7,73,17.02
266,Porbandar,IN,2022-05-13 17:31:21,21.6422,69.6093,83.73,80,6,15.17
267,Komsomolskiy,UZ,2022-05-13 17:31:21,40.4272,71.7189,68.72,49,98,4.61
268,Samana,DO,2022-05-13 17:31:22,19.2056,-69.3369,84.42,79,75,17.27
269,Vigrestad,NO,2022-05-13 17:31:22,58.5667,5.7,49.96,92,100,18.61
270,Emilio Carranza,MX,2022-05-13 17:31:23,19.9711,-96.6114,86.09,58,27,13.44
271,Chimbote,PE,2022-05-13 17:27:53,-9.0853,-78.5783,69.4,72,69,8.37
272,Sabha,LY,2022-05-13 17:32:24,27.0377,14.4283,75.11,24,0,9.82
273,Marion,US,2022-05-13 17:29:40,39.7684,-86.1555,84.7,46,40,10.36
274,Fare,PF,2022-05-13 17:32:24,-16.7,-151.0167,80.4,74,12,16.51
275,Nouakchott,MR,2022-05-13 17:32:25,18.0858,-15.9785,81.12,49,100,18.52
276,Porosozero,RU,2022-05-13 17:32:25,62.7191,32.727,44.98,90,100,8.01
277,Soskovo,RU,2022-05-13 17:32:26,52.7475,35.3828,47.53,83,83,8.97
278,Kasongo-Lunda,CD,2022-05-13 17:32:27,-6.4667,16.8167,74.66,86,83,1.41
279,Mahanoro,MG,2022-05-13 17:32:27,-19.9,48.8,70.56,82,80,2.77
280,Boueni,YT,2022-05-13 17:32:28,-12.9025,45.0761,80.58,68,15,4.7
281,Taoudenni,ML,2022-05-13 17:32:28,22.6783,-3.9836,99.75,8,31,16.73
282,Conyers,US,2022-05-13 17:32:28,33.6676,-84.0177,77.32,71,100,5.75
283,Durban,ZA,2022-05-13 17:32:29,-29.8579,31.0292,69.03,90,51,4.0
284,Neiafu,TO,2022-05-13 17:32:29,-18.65,-173.9833,63.28,94,40,0.0
285,Altamont,US,2022-05-13 17:28:23,42.2068,-121.7372,49.39,64,40,6.91
286,Neustadt,DE,2022-05-13 17:32:30,49.7117,12.0872,65.86,37,0,11.5
287,Mount Gambier,AU,2022-05-13 17:32:30,-37.8333,140.7667,61.09,74,100,12.82
288,Lagoa,PT,2022-05-13 17:32:31,39.05,-27.9833,60.57,71,22,9.22
289,Presidente Medici,BR,2022-05-13 17:32:32,-11.1753,-61.9014,88.63,56,11,1.88
290,Kuala Lumpur,MY,2022-05-13 17:32:32,3.1431,101.6865,83.75,79,20,1.14
291,Oranjestad,AW,2022-05-13 17:29:14,12.524,-70.027,87.75,66,20,28.77
292,Kalabo,ZM,2022-05-13 17:32:33,-14.97,22.6814,68.07,44,0,1.1
293,Tuatapere,NZ,2022-05-13 17:32:33,-46.1333,167.6833,51.55,95,100,7.09
294,San Patricio,US,2022-05-13 17:32:34,28.017,-97.5169,89.17,42,3,15.82
