City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Sibolga,ID,81.1,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
520,Nilanga,IN,85.87,overcast clouds,18.1,76.7667,Shruti nilanga rice and vada pav and tea centre
525,Bandarbeyla,SO,81.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
528,Nanakuli,US,81.1,clear sky,21.3906,-158.1547,Camp Pālehua
534,Claveria,PH,86.47,broken clouds,18.6074,121.0832,Casa Grand Inn By The Sea
536,Columbus,US,77.86,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
538,Shingu,JP,73.53,light rain,33.7333,135.9833,Shingu UI Hotel
539,Punto Fijo,VE,80.51,few clouds,11.6956,-70.1996,Santa Fe Inn Hotel
541,Maiquetia,VE,79.36,scattered clouds,10.5962,-66.9548,Eurobuilding Express Maiquetía
542,Thap Than,TH,85.71,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
545,Gushikawa,JP,74.79,light intensity drizzle,26.3544,127.8686,Kirari Guest House
548,Farmington,US,74.7,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
550,Taitung,TW,75.47,light rain,22.7583,121.1444,Taitung Bali Suites Hotel
555,Bahia Honda,CU,75.6,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
557,Wanning,CN,80.55,overcast clouds,18.8003,110.3967,Paradise Hotel
558,Nishihara,JP,74.86,light intensity drizzle,26.1842,127.7558,Minshuku Agaihama
559,Maasin,PH,82.81,overcast clouds,10.1336,124.8447,michaelsresortanddive
564,Palu,ID,81.09,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
575,Qurayyat,SA,73.65,clear sky,31.3318,37.3428,Resorts Kandel
576,Cockburn Town,TC,79.07,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
577,Naze,JP,70.97,light rain,28.3667,129.4833,Shishime Hotel
579,Ransang,PH,85.08,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
580,Iraucuba,BR,73.44,overcast clouds,-3.7461,-39.7833,Hotel Terra da Amizade
583,Cabedelo,BR,78.94,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
586,Port Macquarie,AU,75.88,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
593,The Valley,AI,80.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
594,Nichinan,JP,72.64,overcast clouds,31.6,131.3667,Guest House Aki
595,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
596,Lazaro Cardenas,MX,82.33,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
598,Poplar Bluff,US,74.93,broken clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
599,Biak,ID,76.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
607,Shenzhen,CN,78.22,broken clouds,22.5455,114.0683,Grand Skylight
608,Rosarito,MX,89.4,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
609,Prado,BR,73.35,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
611,Alyangula,AU,82.38,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
618,Sinnamary,GF,78.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
624,Douentza,ML,85.48,clear sky,14.9951,-2.9517,Ogomono Doumbo
629,Baracoa,CU,77.43,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
632,Vanimo,PG,85.51,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
